1	1	p.adl.G2.txt	2 2 2 2	ἔτους μϛ | Μεσορὴ | δ	year: 46 | month: Mesore | day: 4	ἔτους μϛ Μεσορὴ δ	-0124-08-22	-0124-08-22	0	
581	4802	bgu.7.1552_2.txt	26	ι	day: 10	ι	-0188-06-05	-0188-06-05	1	
582	4802	bgu.7.1552_3.txt	5	ιδ	day: 14	ιδ	-0188-06-05	-0188-06-05	1	
583	4802	bgu.7.1552_3.txt	6	ιϛ	day: 16	ιϛ	-0188-06-05	-0188-06-05	1	
584	4802	bgu.7.1552_3.txt	7	ιη	day: 18	ιη	-0188-06-05	-0188-06-05	1	
585	4802	bgu.7.1552_3.txt	9	κθ	day: 29	κθ	-0188-06-05	-0188-06-05	1	
586	4802	bgu.7.1552_3.txt	10	λ	day: 30	λ	-0188-06-05	-0188-06-05	1	
587	4802	bgu.7.1552_3.txt	11	β	day: 2	β	-0188-06-05	-0188-06-05	1	
588	4802	bgu.7.1552_3.txt	12	γ	day: 3	γ	-0188-06-05	-0188-06-05	1	
589	4802	bgu.7.1552_3.txt	13	η	day: 8	η	-0188-06-05	-0188-06-05	1	
590	4802	bgu.7.1552_3.txt	14	ι	day: 10	ι	-0188-06-05	-0188-06-05	1	
591	4802	bgu.7.1552_3.txt	15	ιβ	day: 12	ιβ	-0188-06-05	-0188-06-05	1	
592	4802	bgu.7.1552_3.txt	17	ιζ	day: 17	ιζ	-0188-06-05	-0188-06-05	1	
593	4802	bgu.7.1552_3.txt	18	ιθ	day: 19	ιθ	-0188-06-05	-0188-06-05	1	
594	4802	bgu.7.1552_3.txt	19	κα	day: 21	κα	-0188-06-05	-0188-06-05	1	
595	4802	bgu.7.1552_3.txt	20	κα	day: 21	κα	-0188-06-05	-0188-06-05	1	
596	4802	bgu.7.1552_3.txt	21	κη	day: 28	κη	-0188-06-05	-0188-06-05	1	
597	4802	bgu.7.1552_3.txt	22	λ	day: 30	λ	-0188-06-05	-0188-06-05	1	
598	4802	bgu.7.1552_3.txt	23	Ἁθὺρ	month: Hathyr	Ἁθὺρ	-0188-06-05	-0188-06-05	1	
599	4802	bgu.7.1552_3.txt	24	β	day: 2	β	-0188-06-05	-0188-06-05	1	
600	4802	bgu.7.1552_3.txt	25	ια	day: 11	ια	-0188-06-05	-0188-06-05	1	
601	4802	bgu.7.1552_3.txt	26	ιδ	day: 14	ιδ	-0188-06-05	-0188-06-05	1	
602	4802	bgu.7.1552_3.txt	27	ιε	day: 15	ιε	-0188-06-05	-0188-06-05	1	
603	4802	bgu.7.1552_4.txt	1	Φαῶφι	month: Phaophi	Φαῶφι	-0188-06-05	-0188-06-05	1	
604	4802	bgu.7.1552_4.txt	3	Ἁθὺρ	month: Hathyr	Ἁθὺρ	-0188-06-05	-0188-06-05	1	
605	4802	bgu.7.1552_5.txt	5	ιζ	day: 17	ιζ	-0188-06-05	-0188-06-05	1	
606	4802	bgu.7.1552_5.txt	6	ιη	day: 18	ιη	-0188-06-05	-0188-06-05	1	
607	4802	bgu.7.1552_5.txt	7	κδ	day: 24	κδ̣	-0188-06-05	-0188-06-05	1	
608	4802	bgu.7.1552_5.txt	8	κε	day: 25	κε	-0188-06-05	-0188-06-05	1	
609	4802	bgu.7.1552_5.txt	9	κϛ	day: 26	κϛ	-0188-06-05	-0188-06-05	1	
610	4802	bgu.7.1552_5.txt	10	κϛ	day: 26	κϛ	-0188-06-05	-0188-06-05	1	
611	4802	bgu.7.1552_5.txt	11	κη	day: 28	κη	-0188-06-05	-0188-06-05	1	
612	4802	bgu.7.1552_5.txt	12	λ	day: 30	λ	-0188-06-05	-0188-06-05	1	
613	4802	bgu.7.1552_5.txt	13	Χοιὰχ	month: Choiak	Χοιὰχ	-0188-06-05	-0188-06-05	1	
614	4802	bgu.7.1552_5.txt	14	α	day: 1	α	-0188-06-05	-0188-06-05	1	
615	4802	bgu.7.1552_5.txt	15	β	day: 2	β	-0188-06-05	-0188-06-05	1	
616	4802	bgu.7.1552_5.txt	16	ϛ	day: 6	ϛ	-0188-06-05	-0188-06-05	1	
617	4802	bgu.7.1552_5.txt	18	η	day: 8	η	-0188-06-05	-0188-06-05	1	
618	4802	bgu.7.1552_5.txt	19	θ	day: 9	θ	-0188-06-05	-0188-06-05	1	
619	4802	bgu.7.1552_5.txt	20	ι	day: 10	ι	-0188-06-05	-0188-06-05	1	
620	4802	bgu.7.1552_5.txt	22	ιγ	day: 13	ιγ	-0188-06-05	-0188-06-05	1	
621	4802	bgu.7.1552_5.txt	23	ιε	day: 15	ιε	-0188-06-05	-0188-06-05	1	
622	4802	bgu.7.1552_5.txt	24	κ	day: 20	κ	-0188-06-05	-0188-06-05	1	
623	4802	bgu.7.1552_5.txt	26	κβ	day: 22	κβ	-0188-06-05	-0188-06-05	1	
624	4802	bgu.7.1552_5.txt	27	κγ	day: 23	κγ	-0188-06-05	-0188-06-05	1	
625	4802	bgu.7.1552_5.txt	28	κϛ	day: 26	κϛ	-0188-06-05	-0188-06-05	1	
626	4802	bgu.7.1552_5.txt	30	κη	day: 28	κη	-0188-06-05	-0188-06-05	1	
627	4802	bgu.7.1552_5.txt	31	λ	day: 30	λ	-0188-06-05	-0188-06-05	1	
628	4802	bgu.7.1552_5.txt	32 33	Τῦβι | γ	month: Tybi | day: 3	Τῦβι γ	-0188-06-05	-0188-06-05	1	
629	4802	bgu.7.1552_5.txt	35	ϛ	day: 6	ϛ	-0188-06-05	-0188-06-05	1	
630	4802	bgu.7.1552_5.txt	36	η	day: 8	η	-0188-06-05	-0188-06-05	1	
631	4802	bgu.7.1552_6.txt	6	Χοιὰχ	month: Choiak	Χοιὰχ	-0188-06-05	-0188-06-05	1	
632	4802	bgu.7.1552_6.txt	9	Τῦβι	month: Tybi	Τῦβι	-0188-06-05	-0188-06-05	1	
633	4802	bgu.7.1552_6.txt	10	η	day: 8	η	-0188-06-05	-0188-06-05	1	
634	4802	bgu.7.1552_6.txt	11	ια	day: 11	ια	-0188-06-05	-0188-06-05	1	
635	4802	bgu.7.1552_6.txt	12	ιβ	day: 12	ιβ	-0188-06-05	-0188-06-05	1	
636	4802	bgu.7.1552_6.txt	13	ιδ	day: 14	ιδ	-0188-06-05	-0188-06-05	1	
637	4802	bgu.7.1552_6.txt	12	Μεχεὶρ	month: Mecheir	Μεχεὶρ	-0188-06-05	-0188-06-05	1	
638	4802	bgu.7.1552_6.txt	15	ιζ	day: 17	ιζ	-0188-06-05	-0188-06-05	1	
639	4802	bgu.7.1552_6.txt	16	ιη	day: 18	ιη	-0188-06-05	-0188-06-05	1	
640	4802	bgu.7.1552_6.txt	17	κ	day: 20	κ	-0188-06-05	-0188-06-05	1	
641	4802	bgu.7.1552_6.txt	22	κη	day: 28	κη	-0188-06-05	-0188-06-05	1	
642	4802	bgu.7.1552_6.txt	23	Μεχείρ	month: Mecheir	Μεχ[είρ]	-0188-06-05	-0188-06-05	1	
643	4802	bgu.7.1552_6.txt	24	α	day: 1	α	-0188-06-05	-0188-06-05	1	
644	4802	bgu.7.1552_6.txt	25	ϛ	day: 6	ϛ	-0188-06-05	-0188-06-05	1	
645	4802	bgu.7.1552_6.txt	27	ϛ	day: 6	ϛ	-0188-06-05	-0188-06-05	1	
646	4802	bgu.7.1552_6.txt	28	η	day: 8	η	-0188-06-05	-0188-06-05	1	
647	4802	bgu.7.1552_6.txt	29	ια	day: 11	ια	-0188-06-05	-0188-06-05	1	
648	4802	bgu.7.1552_7.txt	1 1 1 1	ἔτους ιζ | Μεχεὶρ | η	year: 17 | month: Mecheir | day: 8	(ἔτους) ιζ Μεχεὶρ η̣	-0188-06-05	-0188-06-05	1	
649	4802	bgu.7.1552_7.txt	4	ιη	day: 18	ιη	-0188-06-05	-0188-06-05	1	
650	4802	bgu.7.1552_7.txt	5	κγ	day: 23	κγ	-0188-06-05	-0188-06-05	1	
651	4802	bgu.7.1552_7.txt	6	κε	day: 25	κε	-0188-06-05	-0188-06-05	1	
652	4802	bgu.7.1552_7.txt	12 12	Φαμενὼθ | ϛ	month: Phamenoth | day: 6	Φαμενὼθ ϛ	-0188-06-05	-0188-06-05	1	
653	4802	bgu.7.1552_7.txt	14	ζ	day: 7	ζ	-0188-06-05	-0188-06-05	1	
654	4802	bgu.7.1552_7.txt	15	ια	day: 11	ια	-0188-06-05	-0188-06-05	1	
655	4802	bgu.7.1552_7.txt	17a	ιζ	day: 17	ιζ	-0188-06-05	-0188-06-05	1	
656	4802	bgu.7.1552_7.txt	17	ιθ	day: 19	ιθ	-0188-06-05	-0188-06-05	1	
657	4802	bgu.7.1552_7.txt	18	κβ	day: 22	κβ	-0188-06-05	-0188-06-05	1	
658	4802	bgu.7.1552_7.txt	19	κθ	day: 29	κθ	-0188-06-05	-0188-06-05	1	
659	4802	bgu.7.1552_7.txt	20-21 21	Φαρμοῦθι | δ	month: Pharmouthi | day: 4	Φαρμοῦ-θι δ	-0188-06-05	-0188-06-05	1	
660	4802	bgu.7.1552_7.txt	22	ι	day: 10	ι	-0188-06-05	-0188-06-05	1	
661	4802	bgu.7.1552_7.txt	23	ιβ	day: 12	ιβ	-0188-06-05	-0188-06-05	1	
662	4802	bgu.7.1552_7.txt	24	ιδ	day: 14	ιδ	-0188-06-05	-0188-06-05	1	
663	4802	bgu.7.1552_7.txt	25	κ	day: 20	κ	-0188-06-05	-0188-06-05	1	
664	4802	bgu.7.1552_7.txt	26	κ	day: 20	κ	-0188-06-05	-0188-06-05	1	
665	4802	bgu.7.1552_7.txt	27	κδ	day: 24	κδ	-0188-06-05	-0188-06-05	1	
666	4802	bgu.7.1552_7.txt	28	κϛ	day: 26	κϛ	-0188-06-05	-0188-06-05	1	
667	4802	bgu.7.1552_7.txt	29	κη	day: 28	κη	-0188-06-05	-0188-06-05	1	
668	4802	bgu.7.1552_8.txt	2	ιγ	day: 13	ιγ	-0188-06-05	-0188-06-05	1	
669	4802	bgu.7.1552_8.txt	3	ιε	day: 15	ιε	-0188-06-05	-0188-06-05	1	
670	4802	bgu.7.1552_8.txt	4	κβ	day: 22	κβ	-0188-06-05	-0188-06-05	1	
671	4802	bgu.7.1552_8.txt	5	κε	day: 25	κε	-0188-06-05	-0188-06-05	1	
672	4802	bgu.7.1552_8.txt	6	κζ	day: 27	κζ	-0188-06-05	-0188-06-05	1	
673	4802	bgu.7.1552_8.txt	7	κη	day: 28	κη	-0188-06-05	-0188-06-05	1	
674	4802	bgu.7.1552_8.txt	8	α	day: 1	α̣	-0188-06-05	-0188-06-05	1	
675	4802	bgu.7.1552_8.txt	9	β	day: 2	β	-0188-06-05	-0188-06-05	1	
676	4802	bgu.7.1552_8.txt	11	ϛ	day: 6	ϛ	-0188-06-05	-0188-06-05	1	
677	4802	bgu.7.1552_8.txt	12	ιδ	day: 14	ιδ	-0188-06-05	-0188-06-05	1	
678	4802	bgu.7.1552_8.txt	13	ιϛ	day: 16	ιϛ	-0188-06-05	-0188-06-05	1	
679	4802	bgu.7.1552_8.txt	14	ιζ	day: 17	ιζ	-0188-06-05	-0188-06-05	1	
680	4802	bgu.7.1552_8.txt	15 15	τῆι ιζ	day: 17	τῆι ιζ	-0188-06-05	-0188-06-05	1	
681	4802	bgu.7.1552_8.txt	16	κδ	day: 24	κδ	-0188-06-05	-0188-06-05	1	
682	4802	bgu.7.1552_8.txt	17	κε	day: 25	κε	-0188-06-05	-0188-06-05	1	
683	4802	bgu.7.1552_8.txt	18	κζ	day: 27	κζ	-0188-06-05	-0188-06-05	1	
684	4802	bgu.7.1552_8.txt	19	κθ	day: 29	κθ	-0188-06-05	-0188-06-05	1	
685	4802	bgu.7.1552_8.txt	20 21	Φαρμοῦθι | ε	month: Pharmouthi | day: 5	Φαρμοῦθι ε	-0188-06-05	-0188-06-05	1	
686	4802	bgu.7.1552_8.txt	22	η	day: 8	η	-0188-06-05	-0188-06-05	1	
687	4802	bgu.7.1552_8.txt	23	ι	day: 10	ι	-0188-06-05	-0188-06-05	1	
688	4802	bgu.7.1552_8.txt	24	ια	day: 11	ια	-0188-06-05	-0188-06-05	1	
689	4802	bgu.7.1552_8.txt	26	ιζ	day: 17	ιζ	-0188-06-05	-0188-06-05	1	
690	4802	bgu.7.1552_8.txt	27	ιθ	day: 19	ιθ	-0188-06-05	-0188-06-05	1	
691	4802	bgu.7.1552_8.txt	28	κθ	day: 29	κθ	-0188-06-05	-0188-06-05	1	
692	4802	bgu.7.1552_8.txt	29	α	day: 1	α	-0188-06-05	-0188-06-05	1	
693	4802	bgu.7.1552_8.txt	30 31	Χοιάχ | β	month: Choiak | day: 2	Χοιάχ β	-0188-06-05	-0188-06-05	1	
694	4802	bgu.7.1552_8.txt	32	ε	day: 5	ε	-0188-06-05	-0188-06-05	1	
695	4802	bgu.7.1552_8.txt	33	ζ	day: 7	ζ	-0188-06-05	-0188-06-05	1	
696	4802	bgu.7.1552_9.txt	1	Φαμενώθ	month: Phamenoth	Φαμενώθ	-0188-06-05	-0188-06-05	1	
697	4802	bgu.7.1552_9.txt	3	Φαρμοῦθι	month: Pharmouthi	Φαρμοῦθι	-0188-06-05	-0188-06-05	1	
698	4803	bgu.7.1553.txt	1 1 1	ἔτους ιη | Ἁθὺρ	year: 18 | month: Hathyr	(ἔτους) ιη Ἁθὺρ	-0188-12-21	-0188-12-21	1	
699	4803	bgu.7.1553.txt	4	η	day: 8	η	-0188-12-21	-0188-12-21	1	
700	4803	bgu.7.1553.txt	5	ι	day: 10	[ι]	-0188-12-21	-0188-12-21	1	
701	4803	bgu.7.1553.txt	6	ια	day: 11	ια	-0188-12-21	-0188-12-21	1	
702	4803	bgu.7.1553.txt	8	ιβ	day: 12	ιβ	-0188-12-21	-0188-12-21	1	
703	4803	bgu.7.1553.txt	9	ιδ	day: 14	ιδ	-0188-12-21	-0188-12-21	1	
704	4804	bgu.7.1554.txt	1 1	Χοιὰχ | ε	month: Choiak | day: 5	Χοιὰχ ε	-0193-01-01	-0187-12-31	1	
705	4805	bgu.7.1555.txt	1 1 1 1	ἔτους ιη | Ἁθὺρ | δ	year: 18 | month: Hathyr | day: 4	(ἔτους) ιη Ἁθὺρ δ	-0188-12-16	-0188-12-16	1	
706	4805	bgu.7.1555.txt	3	ε	day: 5	ε	-0188-12-16	-0188-12-16	1	
707	4805	bgu.7.1555.txt	4	ϛ	day: 6	ϛ	-0188-12-16	-0188-12-16	1	
708	4805	bgu.7.1555.txt	5	ζ	day: 7	ζ	-0188-12-16	-0188-12-16	1	
709	4805	bgu.7.1555.txt	6	η	day: 8	η	-0188-12-16	-0188-12-16	1	
710	4805	bgu.7.1555.txt	7	θ	day: 9	θ	-0188-12-16	-0188-12-16	1	
711	4810	bgu.7.1560.txt	5 5	Τῦβι | α	month: Tybi | day: 1	[Τῦβ]ι α	-0193-01-01	-0187-12-31	1	
712	4810	bgu.7.1560.txt	6	ζ	day: 7	ζ	-0193-01-01	-0187-12-31	1	
713	4810	bgu.7.1560.txt	7	ιθ	day: 19	ιθ	-0193-01-01	-0187-12-31	1	
714	4810	bgu.7.1560.txt	8 8	Μεχεὶρ | δ	month: Mecheir | day: 4	Μεχεὶρ δ	-0193-01-01	-0187-12-31	1	
715	4810	bgu.7.1560.txt	9	η	day: 8	η	-0193-01-01	-0187-12-31	1	
716	4810	bgu.7.1560.txt	10	κη	day: 28	κη	-0193-01-01	-0187-12-31	1	
717	4810	bgu.7.1560.txt	12 12	Φαμενὼθ | ϛ	month: Phamenoth | day: 6	Φαμενὼθ ϛ	-0193-01-01	-0187-12-31	1	
718	4810	bgu.7.1560.txt	13	ιη	day: 18	ιη	-0193-01-01	-0187-12-31	1	
719	4810	bgu.7.1560.txt	14	β|digit=2||gap=1|	0	β|gap=1|	-0193-01-01	-0187-12-31	1	
720	4810	bgu.7.1560.txt	15 15	Φαρμοῦθι | θ	month: Pharmouthi | day: 9	Φαρμοῦθι θ	-0193-01-01	-0187-12-31	1	
721	4810	bgu.7.1560.txt	16	ια	day: 11	ια	-0193-01-01	-0187-12-31	1	
722	4810	bgu.7.1560.txt	18	ιη	day: 18	ιη	-0193-01-01	-0187-12-31	1	
723	4810	bgu.7.1560.txt	19	κθ	day: 29	κθ	-0193-01-01	-0187-12-31	1	
724	4813	bgu.8.1730_2.txt	16 16 16 16	ἔτους γ | Φαῶφι | κγ	year: 3 | month: Phaophi | day: 23	(ἔτους) γ Φαῶφι κγ	-0079-11-03	-0079-11-03	1	
725	4813	bgu.8.1730_2.txt	20 20 20 20	ἔτους γ | Ἁθὺρ | |gap=1|ε|digit=5|	year: 3 | month: Hathyr | day: 5	(ἔτους) γ Ἁθὺρ̣ |gap=1|ε	-0079-11-03	-0079-11-03	1	
726	4814	bgu.8.1731.txt	2 2 2 2 2 2 2	ἔτους τεσσαρεσκαιδεκάτου | μηνὸς |gap=6||gap=4|νι | πέμπτῃ καὶ εἰκάδι	year: 14 | month: [ ] | day: 25	ἔτους τεσσαρε[σκαι]δεκάτου μ[ηνὸς] |gap=6||gap=4|ν̣ι̣ π[έ]μ̣πτῃ̣ καὶ [ε]ἰ̣κ̣άδι	-0068-09-09	-0067-09-08	0	
727	4815	bgu.8.1732.txt	2 2 2 2 2 2 2 2	ἔτους |gap=6| | μηνὸς Ἀπελλαίου | Φαῶφι | δευτέραι καὶ εἰκάδι	year: [ ] | month: Apellaios | month: Phaophi | day: 22	[ἔτους] |gap=6| [μηνὸς] [Ἀπελλαίου] [Φα]ῶ̣φι δευτέραι καὶ εἰκάδι	-0080-01-01	-0030-12-31	0	
728	4816	bgu.8.1733.txt	3 3 3 3 3 3 3 3 3 3	ἔτους NA καὶ δεκάτου | μηνὸς Ἀπελλαίου | Φαῶφι | μιᾷ καὶ εἰκάδι	year: [ ] | month: Apellaios | month: Phaophi | day: 21	[ἔτους] [?]|gap=unknown| [καὶ] [δεκάτου] [μηνὸ]ς Ἀπελλαίου Φαῶφι μιᾷ καὶ εἰ[κά]δι	-0080-01-01	-0030-12-31	0	
729	4817	bgu.8.1735_1.txt	2 2 2 2 2 2	ἔτους ἑκκαιδεκάτου | μηνὸς Ξανδικοῦ | Μεχεὶρ | ὀγδόῃ	year: 16 | month: Xandikos | month: Mecheir | day: 9	ἔτους ἑκκαιδ[εκά]του μηνὸς Ξανδικ[οῦ] Μ̣[ε]χ̣ε̣[ὶ]ρ ὀγδόῃ	-0098-02-21	-0098-02-21	0	
730	4818	bgu.8.1736_1.txt	2 2 2 2 2 2	ἔτους τετάρτου | μηνὸς Ἀπελλαίου | Φαῶφι | πέμπτῃ	year: 4 | month: Apellaios | month: Phaophi | day: 5	ἔτους τετάρ[το]υ μηνὸς Ἀ̣[πελλαίου] [Φαῶφι] [πέμπτῃ]	-0078-10-16	-0078-10-16	0	
731	4818	bgu.8.1736_2.txt	20 20 20 20	ἔτους δ | Φαῶφι | ε	year: 4 | month: Phaophi | day: 5	(ἔτους?) δ̣ Φ̣α̣ῶ̣φ̣[ι] ε̣	-0078-10-16	-0078-10-16	0	
732	4819	bgu.8.1737.txt	2 2 2 2	ἔτους τετάρτου | μηνὸς | |gap=1||gap=unknown|	year: 4 | month: [ ] | 0	[ἔτους] τετ[ά]ρτου μηνὸς |gap=1||gap=unknown|	-0078-09-12	-0077-09-10	0	
733	4820	bgu.8.1738_1.txt	2 2 2 2 2 2 2 2	ἔτους δεκάτου | μηνὸς Δίου | Θωὺθ | δευτέρᾳ καὶ εἰκάδι	year: 10 | month: Dios | month: Thoth | day: 22	ἔτους δεκάτου μηνὸς Δίου Θω̣ὺ̣θ δευτέρᾳ καὶ εἰκάδι	-0072-10-01	-0072-10-01	0	
734	4821	bgu.8.1739_1.txt	2 2 2 2 2 2	ἔτους δεκάτου | μηνὸς Ἀπελλαίου | Φαῶφι | ἐνάτῃ	year: 10 | month: Apellaios | month: Phaophi | day: 9	ἔτους δεκάτου μηνὸς Ἀπελλαίου Φαῶφι ἐνάτῃ̣	-0072-10-18	-0072-10-18	0	
735	4822	bgu.8.1740.txt	1 1	ἔτους | |gap=unknown|	year: [ ] | 0	[ἔτους] |gap=unknown|	-0080-01-01	-0030-12-31	0	
736	4823	bgu.8.1741_1.txt	3 3 3 3	ἔτους ιη | Ἐπεὶφ | |gap=2|	year: 18 | month: Epeiph | day: [ ]	(ἔτους) ιη Ἐπεὶφ |gap=2|	-0063-07-05	-0063-07-18	0	
737	4824	bgu.8.1742.txt	1 1 1 1	ἔτους ιη | Ἐπεὶφ | ιδ	year: 18 | month: Epeiph | day: 14	(ἔτους) ιη Ἐπεὶφ ιδ	-0063-07-18	-0063-07-18	0	
738	4825	bgu.14.2368_1.txt	9 9 9 9	ἔτους ιη | Μεσορὴ | κ	year: 18 | month: Mesore | day: 20	(ἔτους) ιη Μεσο̣[ρ]ὴ̣ [κ]	-0063-01-01	-0063-12-31	0	
739	4825	bgu.14.2368_1.txt	11 11 11 11	ἔτους ιη | Μεσορὴ | κ	year: 18 | month: Mesore | day: 20	(ἔτους) ιη Με(σορὴ) κ	-0063-01-01	-0063-12-31	0	
740	4825	bgu.14.2368_1.txt	13 13 13 13	ἔτους ιη | Μεσορὴ | κ	year: 18 | month: Mesore | day: 20	(ἔτους) ιη Με(σορὴ) κ	-0063-01-01	-0063-12-31	0	
741	4826	bgu.8.1744.txt	1 1	ἔτους ιη	year: 18	[(ἔτους)] [ιη]	-0063-07-14	-0063-07-14	0	before
742	4827	bgu.8.1745_1.txt	1 1 2 2	τῆι ϛ | τοῦ Ἐπεὶφ	day: 6 | month: Epeiph	τῆι ϛ τοῦ Ἐπεὶφ	-0063-07-14	-0063-07-14	0	
743	4827	bgu.8.1745_1.txt	5 5 5 5	ἔτους ιη | Ἐπὶφ | ι	year: 18 | month: Epeiph | day: 10	(ἔτους) ιη Ἐπὶφ ι	-0063-07-14	-0063-07-14	0	
744	4827	bgu.8.1745_1.txt	6 6 6 6	ἔτους ιη | Ἐπὶφ | ι	year: 18 | month: Epeiph | day: 10	(ἔτους) ιη Ἐπὶφ ι	-0063-07-14	-0063-07-14	0	
745	4827	bgu.8.1745_2.txt	9 9	ἔτους ιη	year: 18	[(ἔτους)] [ιη]	-0063-07-14	-0063-07-14	0	
746	4829	bgu.8.1747_1.txt	6 6 6 6	ἔτους ιη | Ἐπεὶφ | θ	year: 18 | month: Epeiph | day: 9	(ἔτους) ιη Ἐπεὶφ θ	-0063-07-13	-0063-07-13	0	
747	4829	bgu.8.1747_1.txt	17 17 17 17	ἔτους ιη | Παῦνι | κγ	year: 18 | month: Pauni | day: 23	(ἔτους?) ιη Π̣αῦ̣νι κγ	-0063-07-13	-0063-07-13	0	
748	4830	bgu.8.1748.txt	2 2 2 2	ἔτους ιη | Ἐπὶφ | ιθ	year: 18 | month: Epeiph | day: 19	(ἔτους) ιη Ἐπὶφ ι̣θ̣	-0063-07-23	-0063-07-23	0	
749	4831	bgu.8.1749.txt	3 3 3 3	ἔτους ιη | Μεσορὴ | |gap=2|	year: 18 | month: Mesore | day: [ ]	[(ἔτους)] [ιη] [Μεσορὴ] |gap=2|	-0063-08-17	-0063-08-17	0	
750	4831	bgu.8.1749.txt	10 10 10 10	ἔτους ιη | Μεσορὴ | ε	year: 18 | month: Mesore | day: 5	(ἔτους) ιη Μεσο(ρὴ) ε	-0063-08-17	-0063-08-17	0	
751	4831	bgu.8.1749.txt	15 15 15 15	ἔτους ιη | Μεσορὴ | ε	year: 18 | month: Mesore | day: 5	(ἔτους) ιη Μεσορὴ ε	-0063-08-17	-0063-08-17	0	
752	4831	bgu.8.1749.txt	19 19 19 19 20 20 20 20	ἔτους ιη | Μεσορὴ | ιδ | ἔτους ιη | Μεσορὴ | ιδ	year: 18 | month: Mesore | day: 14 | year: 18 | month: Mesore | day: 14	(ἔτους) ιη Μεσο(ρὴ) ιδ (ἔτους) ιη Μεσο(ρὴ) ιδ	-0063-08-17	-0063-08-17	0	
753	4832	bgu.8.1750.txt	10 10 10 10	ἔτους ιη | Μεσορὴ | ιδ	year: 18 | month: Mesore | day: 14	(ἔτους) ιη Μεσο(ρὴ) ιδ	-0063-08-17	-0063-08-17	0	
754	4833	bgu.8.1751_1.txt	4 4 4 4	ἔτους ιη | Ἐπεὶφ | ιβ	year: 18 | month: Epeiph | day: 12	(ἔτους) ιη Ἐπεὶφ ιβ	-0063-07-18	-0063-07-18	0	
755	4833	bgu.8.1751_1.txt	15 15 15 15	ἔτους ιη | Ἐπὶφ | ιγ	year: 18 | month: Epeiph | day: 13	(ἔτους) ιη Ἐπὶφ ιγ	-0063-07-18	-0063-07-18	0	
756	4833	bgu.8.1751_2.txt	17 17 17 17	ἔτους ιη | Ἐπὶφ | ιδ	year: 18 | month: Epeiph | day: 14	(ἔτους) ιη Ἐπὶφ ιδ	-0063-07-18	-0063-07-18	0	
757	4834	bgu.8.1752_1.txt	3 3 3 3	ἔτους ιη | Ἐπεὶφ | θ	year: 18 | month: Epeiph | day: 9	(ἔτους) ιη Ἐπεὶφ θ	-0063-07-13	-0063-07-13	0	
758	4835	bgu.8.1753i.txt	9 9 9 9	ἔτους ιη | Ἐπὶφ | ι	year: 18 | month: Epeiph | day: 10	(ἔτους) ιη Ἐ(πὶ)φ ι	-0063-07-14	-0063-07-14	0	
759	4837	bgu.8.1755_1.txt	12 12 12 12	ἔτους α | Θωὺθ | κθ	year: 1 | month: Thoth | day: 29	(ἔτους) α̣ Θωὺθ κθ	-0052-10-03	-0052-10-03	0	
760	4838	bgu.8.1756_1.txt	7 7 7 7 7 7	ἔτους κγ | Πανήμου | ιγ | Παχὼν | ιγ	year: 23 | month: Panemos | day: 13 | month: Pachons | day: 13	(ἔτους) κγ Πανήμου ιγ Παχὼν ι[γ]	-0058-05-17	-0058-05-17	0	
761	4841	bgu.8.1760_1.txt	10 10 10 10	ἔτους β | Παῦνι | ιη	year: 2 | month: Pauni | day: 18	(ἔτους) β Παῦνι ιη	-0050-06-19	-0050-06-19	0	
762	4841	bgu.8.1760_1.txt	33 33 33 33	ἔτους β | Παχὼν | κε	year: 2 | month: Pachons | day: 25	(ἔτους) β Παχ[ὼ]ν κε	-0050-06-19	-0050-06-19	0	
763	4842	bgu.8.1761.txt	4 4 4 4 4 4	ἔτους β | Ξανθικῶι | ια | Μεχεὶρ | ια	year: 2 | month: Xandikos | day: 11 | month: Mecheir | day: 11	(ἔτους) β Ξανθικῶι ια Μεχεὶρ ια	-0050-02-12	-0050-02-12	0	
764	4842	bgu.8.1761.txt	9 9 9 9	ἐν τῶι ἐνεστῶτι ἔτει	year: current	ἐν τῶι ἐνεστῶτι ἔτει	-0050-02-12	-0050-02-12	0	
765	4842	bgu.8.1761.txt	17 17 17 17	ἔτους β | Φαμενὼθ | ιγ	year: 2 | month: Phamenoth | day: 13	(ἔτους) β Φαμενὼ(θ) ιγ	-0050-02-12	-0050-02-12	0	
766	4844	bgu.20.2847.txt	1 1 1 1	ἔτους γ | Ἐπιφ | κη	year: 3 | month: Epeiph | day: 28	(ἔτους) γ Ἐπιφ κη	-0049-07-28	-0049-07-28	0	
767	4844	bgu.20.2847.txt	6 6 6 6 7 7	τῆι κζ | τοῦ ἐνεστῶτος μηνὸς Ἐπεὶφ	day: 27 | month: Epeiph	τῆι κζ τοῦ ἐνεστῶτος μηνὸς Ἐπεὶφ	-0049-07-28	-0049-07-28	0	
768	4850	bgu.8.1769.txt	6 6 6 6 6 6	ἐν τῶι Τῦβι | τοῦ ϛ ἔτους	month: Tybi | year: 6	ἐν τῶι Τῦβι τοῦ ϛ (ἔτους)	-0047-02-01	-0047-02-01	0	about
769	4851	bgu.8.1770.txt	1 1 1 1	ἔτους ιη | Φαρμοῦθι | β	year: 18 | month: Pharmouthi | day: 2	(ἔτους) ιη Φ̣α̣ρ̣[μοῦ]θ̣ι̣ β	-0063-04-07	-0063-04-07	0	
